,fecha,confirmados_minsal,fecha_media_movil,media_movil,R0,Alpha,Beta,Gamma,S,E,I,Ia,R
14,2020-11-11,24454,2020-11-08,23877.428571428572,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,625185.5978958568,474.3839044279649,1231.342834471941,24340.01819971554,23108.675365243602
15,2020-11-12,24624,2020-11-09,24054.14285714286,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,625034.4107021922,467.4431299499166,1213.5646834043187,24498.146167858198,23284.58148445388
16,2020-11-13,24754,2020-11-10,24216.571428571428,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,624885.4439773057,460.59547818655443,1196.0126767108168,24653.96054450817,23457.947867797353
17,2020-11-14,24844,2020-11-11,24379.14285714286,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,624738.6683229054,453.83930652455604,1178.6855489571706,24807.492370570355,23628.806821613183
18,2020-11-15,24892,2020-11-12,24536.714285714286,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,624594.0545478095,447.1733127789158,1161.581667947665,24958.772139411874,23797.190471464208
19,2020-11-16,25050,2020-11-13,24690.285714285714,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,624451.5737116251,440.59637803710143,1144.6992005957325,25107.82991033818,23963.130709742447
20,2020-11-17,25233,2020-11-14,24835.85714285714,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,624311.1971480859,434.10748223056095,1128.036202713471,25254.695369683883,24126.65916697041
21,2020-11-18,25376,2020-11-15,24967.571428571428,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,624172.8964773937,427.70565884598864,1111.5906678312574,25399.397863760736,24287.80719592948
22,2020-11-19,25492,2020-11-16,25091.571428571428,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,624036.6436125922,421.389970698768,1095.3605539468836,25541.9664167094,24446.605862762517
23,2020-11-20,25608,2020-11-17,25213.571428571428,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,623902.4107626863,415.1594970384523,1079.3437983778704,25682.429740275657,24603.085941897785
24,2020-11-21,25710,2020-11-18,25337.285714285714,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,623770.170433963,409.01332674893223,1063.5383261938491,25820.816239288473,24757.277913094626
25,2020-11-22,25752,2020-11-19,25460.14285714286,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,623639.8954303047,402.9505548241634,1047.9420551777052,25957.154014871452,24909.21195969375
26,2020-11-23,25812,2020-11-20,25569.0,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,623511.5588529188,396.97028060198375,1032.5528989032305,26091.47086647951,25058.91796757628
27,2020-11-24,25942,2020-11-21,25670.285714285714,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,623385.1340997142,391.0716069392261,1017.3687687843826,26223.794293346837,25206.425524562455
28,2020-11-25,26087,2020-11-22,25771.85714285714,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,623260.5948644519,385.2536398885169,1002.3875755568318,26354.151495659913,25351.76392010308
29,2020-11-26,26254,2020-11-23,25880.714285714286,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,623137.9151357374,379.51548864020083,987.6072304401234,26482.569375622752,25494.962145182628
30,2020-11-27,26378,2020-11-24,25990.714285714286,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,623017.0691958953,373.85626560214985,973.0256461144586,26609.07453850282,25636.04889238836
31,2020-11-28,26452,2020-11-25,26096.714285714286,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,622898.0316197478,368.27508654906296,958.6407375845382,26733.693293703534,25775.052556118997
32,2020-11-29,26506,2020-11-26,26204.428571428572,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,622780.7772733092,362.7710708045529,944.4504229697679,26856.451655886554,25912.001232916788
33,2020-11-30,26603,2020-11-27,26317.428571428572,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,622665.2813124092,357.34334143637,930.4526242422712,26977.375346154742,26046.92272191247
34,2020-12-01,26783,2020-11-28,26437.571428571428,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,622551.5191812458,351.9910254543018,916.6452679245464,27096.489793300196,26179.84452537565
35,2020-12-02,26909,2020-11-29,26555.0,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,622439.4666108768,346.71325400522716,903.0262857534261,27213.820135118298,26310.793849364873
36,2020-12-03,27039,2020-11-30,26667.14285714286,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,622329.0996176512,341.5091625624665,889.5936153142029,27329.391219786707,26439.797604472504
37,2020-12-04,27141,2020-12-01,26776.14285714286,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,622220.3945015848,336.37789110800077,876.3452006472819,27443.22760730753,26566.882406660246
38,2020-12-05,27201,2020-12-02,26883.14285714286,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,622113.3278446832,331.31858430689954,863.2789928289086,27555.353571010197,26692.074578181288
39,2020-12-06,27248,2020-12-03,26989.14285714286,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,622007.876509214,326.33039167371345,850.3929505270787,27665.793099112496,26815.400148585417
40,2020-12-07,27306,2020-12-04,27089.571428571428,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,621904.0176359324,321.4124677308049,837.6850405334958,27774.569896337067,26936.88485580357
41,2020-12-08,27360,2020-12-05,27172.0,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,621801.7286422609,316.56397215870834,825.1532382723124,27881.70738558067,27056.554147308358
42,2020-12-09,27498,2020-12-06,27256.14285714286,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,621700.9872204281,311.7840699386745,812.7955282863134,27987.228709633575,27174.43318134726
43,2020-12-10,27650,2020-12-07,27343.428571428572,0.8929381475114156,0.3333333333333333,0.21428571428571427,0.14285714285714285,621601.7713355663,307.0719314875813,800.6099047011601,28091.156732946463,27290.546828245304
